trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
192,False,"{'a': 0.5, 'e': 0.14519690621578268}",25,12,16.203658029382794,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14374493715362485}",20,6,-4.245863892015677,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.1423074877820886}",30,13,-17.559708771601994,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.1408844129042677}",20,12,14.420187230443716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.13947556877522502}",25,17,15.555993008498925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747278}",20,9,8.215793457293396,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13670000495659804}",25,8,22.839148826061393,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703207}",25,11,24.552061011303906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796175}",25,8,19.983755293937023,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13263987810938213}",20,12,15.404333118437922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.1313134793282883}",25,8,30.499447769642,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13000034453500542}",20,6,-49.58542765094832,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965536}",25,0,42.83328930558402,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.12741333767875881}",20,11,14.655140644465206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197123}",20,15,-32.17457482883117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895152}",20,15,3.2418945062395395,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.123629034136362}",35,24,-5.606979217032053,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499838}",20,10,17.174296014066996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.1211688163570484}",25,15,-34.835609411766335,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347792}",25,14,12.547747326758852,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154315}",25,0,38.13407418434377,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.11756998134242772}",30,15,24.09920741382606,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900344}",25,17,16.11207222513082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
